career_name,career_category,interest_name,relevance_weight,review_status,source_type,source_reference
Accountant (General),Business and Finance,Financial Reporting,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Accounting Systems,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Financial Analysis,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Audit and Assurance,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Regulatory Compliance,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Budgeting,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Business Finance,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Taxation,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Data Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Accountant (General),Business and Finance,Business Decision Support,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211131 (Accountant (General)); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Management Accounting,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Budgeting,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Cost Analysis,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Performance Analysis,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Financial Planning,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Financial Analysis,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Business Decision Support,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Accounting Systems,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Data Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Accountant,Business and Finance,Process Improvement,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211134 (Management Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Management Consultant,Business and Finance,Business Strategy,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Organisational Improvement,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Process Improvement,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Business Analysis,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Change Management,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Performance Analysis,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Operations Management,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Business Decision Support,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Data Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Management Consultant,Business and Finance,Client Advisory,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 223432 (Management Consultant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97 (business consultant); O*NET Database 31.0: 13-1111.00 (Management Analysts)
Taxation Accountant,Business and Finance,Taxation,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Tax Compliance,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
