career_name,osca_code,osca_title,isco08_code,isco08_title,correspondence_flag,esco_concept_uri,esco_code,esco_title,matched_label,matched_label_type,normalized_exact,similarity_score,esco_description,esco_modified_date,review_status
Accountant (General),211131,Accountant (General),2411,Accountants,p,http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,2411.1.8,financial controller,accountant,alternative_label,no,71.43,"Financial controllers handle all tasks related to the budgeting and accounting aspects of a company or organisation. They implement and ensure compliance with internal financial and accounting procedures, and prepare documentation for external audits. They collect information related to financial statements such as assets, liabilities, equity, and cash flow in order to assess the company's financial position to prepare annual budgets and forecasts.",2024-01-16T14:33:32.179Z,pending
Accountant (General),211131,Accountant (General),2411,Accountants,p,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,2411.1,accountant,accountant,preferred_label,no,71.43,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",2023-12-01T16:16:58.018Z,pending
Accountant (General),211131,Accountant (General),2411,Accountants,p,http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6,2411.1.1,accounting analyst,accounts analyst,alternative_label,no,64.71,"Accounting analysts evaluate the financial statements of clients, usually companies, which include the income sheet, the balance sheet, the statement of cash flows and additional notes to other financial statements. They interpret and implement new accounting systems and accounting procedures and will analyse and determine if the proposed systems conform to accounting regulations and meet user information requirements.",2024-01-18T15:09:45.266Z,pending
Management Accountant,211134,Management Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/4e4a291d-1d38-4c5a-812a-5827d0691b11,2411.1.4,budget analyst,budget accountant,alternative_label,no,73.68,"Budget analysts monitor the spending activities of public and private institutions and companies. They prepare budget reports, review the budget model used in the company and ensure compliance with the budgeting policies and other legal regulations.",2024-01-18T15:09:33.204Z,pending
Management Accountant,211134,Management Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,2411.1.11,public finance accountant,finance accountant,alternative_label,no,71.79,"Public finance accountants head the treasury department of a governmental institution. They manage the institution's financial administration, expenditure and income generation, and compliance with taxation and other financial legislation. They perform administrative duties to ensure record keeping, develop plans for budget management and perform financial forecasts.",2024-01-16T14:33:54.173Z,pending
Management Accountant,211134,Management Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,2411.1.7,financial auditor,chartered accountant,alternative_label,no,68.29,"Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par.",2024-01-16T14:33:29.635Z,pending
Taxation Accountant,211135,Taxation Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,2411.1,accountant,production accountant,alternative_label,no,75.0,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",2023-12-01T16:16:58.018Z,pending
Taxation Accountant,211135,Taxation Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84,2411.1.5,cost analyst,cost accountant,alternative_label,no,70.59,"Cost analysts prepare regular costs, budgeting analyses and reports in order to contribute to the overall cost planning and forecasting activities of a business. They review and reconcile key balance sheets and identify new opportunities to save costs.",2024-01-18T15:10:27.39Z,pending
Taxation Accountant,211135,Taxation Accountant,2411,Accountants,p,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,2411.1.11,public finance accountant,finance accountant,alternative_label,no,70.27,"Public finance accountants head the treasury department of a governmental institution. They manage the institution's financial administration, expenditure and income generation, and compliance with taxation and other financial legislation. They perform administrative duties to ensure record keeping, develop plans for budget management and perform financial forecasts.",2024-01-16T14:33:54.173Z,pending
Content Creator (Marketing),221531,Content Creator (Marketing),2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,2431.1,advertising copywriter,content marketer,alternative_label,no,68.29,"Advertising copywriters are responsible for the written or verbal design of advertisements and commercials. They write slogans, catchphrases and work closely together with advertising artists.",2024-01-16T17:15:06.151Z,pending
Content Creator (Marketing),221531,Content Creator (Marketing),2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7,2431.10.4,online marketer,internet marketer,alternative_label,no,57.14,"Online marketers use e-mail, internet and social media in order to market goods and brands.",2024-02-06T13:41:20.69Z,pending
Content Creator (Marketing),221531,Content Creator (Marketing),2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba,2431.6,client relations manager,client relations manager,preferred_label,no,57.14,Client relations managers act as the middle person between a company and its customers. They ensure that the customers are satisfied by providing them with guidance and explanation on their accounts and services received by the company. They also have possible other tasks such as developing plans or delivering proposals.,2024-01-17T16:09:23.576Z,pending
Digital Marketing Analyst,221532,Digital Marketing Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2431.10,marketing consultant,marketing analyst,alternative_label,no,80.95,"Marketing consultants advise companies in the development of marketing strategies for specific purposes. They can advise and develop strategies for the entry of a brand in the market, for the re-launch of a product, for the introduction of a new product, or for the positioning of a commercial image. They perform previous studies of the position of the company and perception of customers in order to define the marketing approach.",2024-01-22T12:25:45.517Z,pending
Digital Marketing Analyst,221532,Digital Marketing Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,2431.11,market research analyst,market analyst,alternative_label,no,71.79,"Market research analysts collect the information gathered in the market research and study it to draw conclusions. They define the potential customers of a product, the target group and the way they can be reached. Market research analysts analyse the position of products in the market from different perspectives such as features, prices and competitors. They analyse cross selling and interdependencies between different products and their placement. Market research analysts prepare information helpful for the development of marketing strategies.",2024-01-17T11:32:34.337Z,pending
