career_name,osca_code,official_isco_codes,esco_isco_group,inside_official_isco_group,esco_code,esco_concept_uri,esco_title,matched_label,matched_label_type,exact_label_match,title_similarity,description_overlap,esco_description,review_status
Content Creator (Marketing),221531,2431,2513,no,2513.4,http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,web content manager,content curator,alternative_label,no,70.0,2.0,"Web content managers curate or create content for a web platform according to the long-term strategic goals, policies and procedures for an organisation's online content or their customers. They control and monitor compliance with standards, legal and privacy regulations and ensure web optimisation. They are also responsible for integrating the work of writers and designers to produce a final layout which is compatible with corporate standards.",pending
Content Creator (Marketing),221531,2431,2431,yes,2431.1,http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,advertising copywriter,content marketer,alternative_label,no,68.29,0.0,"Advertising copywriters are responsible for the written or verbal design of advertisements and commercials. They write slogans, catchphrases and work closely together with advertising artists.",pending
Content Creator (Marketing),221531,2431,1221,no,1221.3,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,chief marketing officer,director of marketing,alternative_label,no,65.22,4.44,"Chief marketing officers manage the high level marketing operations in a company. They coordinate all the efforts related to the marketing, promotional, and advertising activities across units or geographical areas. They make sure that different activities aimed at creating awareness of products are profitable for the company. They take decisions and prepare reports on marketing projects and the costs they entail.",pending
Content Creator (Marketing),221531,2431,3435,no,3435.6,http://data.europa.eu/esco/occupation/7f0d69cf-8b02-4a84-865a-37585dea9b43,broadcasting programme director,content director,alternative_label,no,63.41,0.0,"Broadcasting programme directors make the programme schedule. They decide how much broadcast time a programme gets and when it is aired, based on a few factors like, ratings, viewer demographics, etc.",pending
Content Creator (Marketing),221531,2431,7513,no,7513.1,http://data.europa.eu/esco/occupation/43841fa5-f8ae-43ce-834d-5482ec23ef9e,dairy products maker,ice-cream maker,alternative_label,no,60.0,4.17,"Dairy products makers artisanally process raw milk to make dairy products such as butter, cheese, cream and milk.",pending
Cyber Security Advice and Assessment Specialist,271132,2529,2529,yes,2529.2,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,cybersecurity and forensic specialist,alternative_label,no,73.81,0.0,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",pending
Cyber Security Advice and Assessment Specialist,271132,2529,1219,no,1219.1.2,http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,security manager,security management specialist,alternative_label,no,72.73,2.22,"Security managers ensure security for people, such as customers and employees, and company’s assets either fixed, movable, machines, vehicles, and real state. They ensure safety and security by enforcing security policies, keeping track of different events, implementing security protocols, creating emergency response procedures, conducting security evaluations, and supervising security staff members.",pending
Cyber Security Advice and Assessment Specialist,271132,2529,2529,yes,2529.4,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,cybersecurity specialist,alternative_label,no,67.61,2.63,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",pending
Cyber Security Advice and Assessment Specialist,271132,2529,2529,yes,2529.8,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,cybersecurity risk manager,cybersecurity specialist,alternative_label,no,67.61,2.04,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",pending
Cyber Security Advice and Assessment Specialist,271132,2529,2422,no,2422.10,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,monitoring and evaluation officer,social impact assessment specialist,alternative_label,no,63.41,0.0,"Monitoring and evaluation officers are responsible for the conceptualisation, design, implementation and follow-up of the monitoring and evaluation activities of projects, programmes, policies, strategies, institutions or processes, along the relevant programming cycle. They develop monitoring, inspection and evaluation methods and instruments needed to collect and analyse data, and report on results by applying structured M&E frameworks, theories, approaches and methodologies. M&E officers inform decision-making through reporting, learning products or activities and knowledge management. They can also engage in capacity development activities by providing training and capacity building support within their organizations or for clients and partners.",pending
