interest_name,category
Accessibility Design,Design and Creative Technology
Accounting Systems,Business and Finance
Acute Care,Healthcare
Advertising Design,Design and Creative Technology
Animation,Design and Creative Technology
Application Development,Software and Information Technology
Artificial Intelligence,Technology
Assistive Technology,Healthcare
Audience Engagement,Marketing and Communications
Audio Production,Design and Creative Technology
Audit and Assurance,Business and Finance
Automation,Cross-Domain
Brand Communication,Marketing and Communications
Brand Management,Marketing and Communications
Branding,Design and Creative Technology
Budgeting,Business and Finance
Business Analysis,Cross-Domain
Business Decision Support,Cross-Domain
Business Finance,Business and Finance
Business Intelligence,Data and Artificial Intelligence
Business Strategy,Business and Finance
Campaign Development,Marketing and Communications
Campaign Performance,Marketing and Communications
Candidate Assessment,"People, Organisation, Operations and Supply Chain"
Candidate Sourcing,"People, Organisation, Operations and Supply Chain"
Care Coordination,Healthcare
Career Guidance,"People, Organisation, Operations and Supply Chain"
Change Management,Business and Finance
Civil Infrastructure,Engineering
Client Advisory,Cross-Domain
Clinical Assessment,Healthcare
Clinical Data,Healthcare
Cloud Computing,Software and Information Technology
Cloud Data Platforms,Data and Artificial Intelligence
Cloud Infrastructure,Software and Information Technology
Cloud Security,Cross-Domain
Collaboration and Operations,Software and Information Technology
Community Health,Healthcare
Competitive Analysis,Marketing and Communications
Compliance and Assurance,Cyber Security
Construction Engineering,Engineering
Consumer Behaviour,Marketing and Communications
Content Creation,Marketing and Communications
Continuous Integration and Delivery,Software and Information Technology
Control Systems,Engineering
Conversion Optimisation,Marketing and Communications
Copywriting,Marketing and Communications
Cost Analysis,Business and Finance
Creative Direction,Design and Creative Technology
Creative Technology,Design and Creative Technology
Cyber Risk Management,Cyber Security
Cybersecurity,Technology
Data Analysis,Technology
Data Architecture,Data and Artificial Intelligence
Data Engineering,Data and Artificial Intelligence
Data Governance,Data and Artificial Intelligence
Data Integration,Data and Artificial Intelligence
Data Modelling,Data and Artificial Intelligence
Data Pipelines,Data and Artificial Intelligence
Data Quality,Cross-Domain
Data Science,Data and Artificial Intelligence
Data Security,Data and Artificial Intelligence
Data Visualisation,Cross-Domain
Data Warehousing,Data and Artificial Intelligence
Database Systems,Cross-Domain
Demand Planning,"People, Organisation, Operations and Supply Chain"
Design Systems,Design and Creative Technology
DevOps,Software and Information Technology
Digital Content,Marketing and Communications
Digital Content Design,Design and Creative Technology
Digital Forensics,Cyber Security
Digital Marketing,Marketing and Communications
Digital Transformation,Software and Information Technology
Disability Support,Healthcare
Dispute Resolution,"People, Organisation, Operations and Supply Chain"
Distributed Systems,Cross-Domain
Electrical Systems,Engineering
Electronics,Engineering
Emergency Care,Healthcare
Employee Relations,"People, Organisation, Operations and Supply Chain"
Employer Relations,"People, Organisation, Operations and Supply Chain"
Employment Law,"People, Organisation, Operations and Supply Chain"
Engineering Design,Engineering
Enterprise Architecture,Data and Artificial Intelligence
Evidence-Based Practice,Healthcare
Exercise Therapy,Healthcare
Experimentation,Data and Artificial Intelligence
Financial Analysis,Business and Finance
Financial Planning,Business and Finance
Financial Reporting,Business and Finance
Front-End Design,Design and Creative Technology
Functional Assessment,Healthcare
Graphic Content,Marketing and Communications
Graphic Design,Design and Creative Technology
Health Data Governance,Healthcare
Health Education,Healthcare
Health Information Management,Healthcare
Health Technology,Healthcare
Healthcare Analytics,Healthcare
HR Policy,"People, Organisation, Operations and Supply Chain"
Human Resources,"People, Organisation, Operations and Supply Chain"
Identity and Access Management,Cyber Security
Illustration,Design and Creative Technology
Incident Response,Cyber Security
Information Architecture,Design and Creative Technology
Information Security,Cross-Domain
Infrastructure Automation,Software and Information Technology
Injury Recovery,Healthcare
Interaction Design,Design and Creative Technology
Interactive Media,Design and Creative Technology
Interviewing,"People, Organisation, Operations and Supply Chain"
Inventory Management,"People, Organisation, Operations and Supply Chain"
Layout Design,Design and Creative Technology
Learning and Development,"People, Organisation, Operations and Supply Chain"
Legislation and Policy,Business and Finance
Logistics,Cross-Domain
Machine Learning,Data and Artificial Intelligence
Maintenance Engineering,Engineering
Management Accounting,Business and Finance
Manufacturing,Engineering
Market and Operational Insights,Data and Artificial Intelligence
Market Research,Marketing and Communications
Market Trends,Marketing and Communications
Marketing Analytics,Marketing and Communications
Marketing Strategy,Marketing and Communications
Mechanical Design,Engineering
Mechanical Systems,Engineering
Medical Records,Healthcare
Medication Management,Healthcare
Mental Health,Healthcare
Monitoring and Observability,Software and Information Technology
Motion Graphics,Design and Creative Technology
Movement and Mobility,Healthcare
Multimedia Design,Design and Creative Technology
Musculoskeletal Health,Healthcare
Negotiation,"People, Organisation, Operations and Supply Chain"
Network Security,Cyber Security
Networking,Software and Information Technology
Nursing,Healthcare
Occupational Therapy,Healthcare
Operations Management,Cross-Domain
Operations Research,Engineering
Organisational Development,"People, Organisation, Operations and Supply Chain"
Organisational Improvement,Business and Finance
Organisational Policy,"People, Organisation, Operations and Supply Chain"
Patient Care,Healthcare
Patient Safety,Healthcare
People Analytics,"People, Organisation, Operations and Supply Chain"
People Communication,"People, Organisation, Operations and Supply Chain"
Performance Analysis,Business and Finance
Performance Management,"People, Organisation, Operations and Supply Chain"
Physiotherapy,Healthcare
Platform Engineering,Software and Information Technology
Power Systems,Engineering
Predictive Modelling,Data and Artificial Intelligence
Pricing Strategy,Marketing and Communications
Privacy and Data Protection,Cross-Domain
Process Improvement,Cross-Domain
Procurement,"People, Organisation, Operations and Supply Chain"
Product Development,Engineering
Product Positioning,Marketing and Communications
Production Systems,Engineering
Programming and Automation,Cross-Domain
Project Planning,Cross-Domain
Promotion Strategy,Marketing and Communications
Prototyping,Design and Creative Technology
Quality Management,Engineering
Recruitment,"People, Organisation, Operations and Supply Chain"
Regulatory Compliance,Cross-Domain
Rehabilitation,Healthcare
Reliability Engineering,Software and Information Technology
Renewable Energy,Engineering
